,10/2022,9/2022,8/2022,7/2022,6/2022,5/2022,4/2022,3/2022,2/2022,1/2022,12/2021,11/2021,10/2021
市場,-0.916303165,-2.110280351,1.165073419,0.280720385,-3.221365323,0.692533298,-1.81421125,0.498386552,0.95044524,-1.452258014,1.268278237,2.030053386,1.06467563
HML,6.452627627,4.857718699,2.723444848,-17.39124261,-10.76050691,-0.583693206,16.01836158,4.029193134,3.927922308,-2.448175695,1.665183747,6.356252912,-3.200342179
SMB,-3.823160771,-1.5470252,3.288491955,10.65183633,10.90428985,-2.151274923,11.6086023,3.111296348,-2.702142193,-1.535126352,-0.721405777,-0.606388519,-3.815881846
ESG,4.468946121,0.30142582,-5.710624146,-6.77020665,-5.438884384,0.269822478,-4.420245962,-5.627844175,-2.518392929,2.622957294,-2.640052588,-0.265422834,0.305723029
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,10/2022,9/2022,8/2022,7/2022,6/2022,5/2022,4/2022,3/2022,2/2022,1/2022,12/2021,11/2021,10/2021
元大,0.76,-3.6,4.53,1.56,-13.56,-6.86,-0.95,6.24,-1.56,-0.21,6.73,-4.01,0
開發金,-2.08,-10.44,3.87,-5.56,-9.23,-9.77,-6.5,1.3,4.13,3.99,6.69,15.54,0
永豐,-6.936416185,-0.288184438,8.641202254,0.56675063,-7.459207459,-0.52173913,-0.80506038,7.611386139,3.922829582,1.900393185,5.532503458,8.152580404,1.750380518
友達,6.490233144,-12.22345133,25.46842471,-12.29458308,-9.426681367,4.976851852,-13.64317841,-3.380009657,1.969473166,-12.0017331,13.91905232,4.702842377,8.768971332
華航,-13.74045802,-13.81578947,0.884955752,-0.220750552,-13.31802526,-2.681564246,4.515375633,-4.498141264,19.23758865,-15.06024096,5.985634477,51.14595899,0
華南金,-5.393258427,-4.301075269,7.539315449,2.222222222,-5.071813285,0.224921278,-2.457218078,10.20309478,1.124694377,3.074596774,4.918032787,-0.734908136,-0.209533787
第一金,-4.807692308,-2.071563089,4.158493527,3.073190457,-4.221533695,-1.600609756,-2.308265078,10.71723001,2.190395956,2.637267618,6.052269601,0.878815911,1.550023485
中鋼,0.561797753,-7.772020725,4.512635379,8.076472883,-17.90518898,-3.997539975,-7.324023938,8.202281838,6.959102902,-4.803767661,8.591885442,-3.10538487,-7.431192661
正新,-9.523809524,0.705218618,0,3.624671149,-0.407569141,6.280940594,-5.662580269,-0.406976744,3.024857742,-4.271788991,7.754093296,-1.760242792,-3.935860058
聯電,9.370629371,-13.01703163,2.366127024,2.554278416,-18.89372281,7.529516596,-11.47702623,3.63784999,-9.068946293,-11.84469201,2.039451688,9.821920323,-9.382798203
台積電,-7.582938389,-15.95467129,-0.784460955,6.932617745,-14.53826429,4.088115332,-9.881938445,-0.669639102,-5.031637479,3.413860339,3.663988763,1.017459466,1.723227487
台灣大,-0.523012552,-4.016064257,-1.871921182,-2.121504339,0,-0.460741025,3.332672089,1.448983699,3.812806853,-0.302020412,3.09211939,-1.114768022,-0.810867734
